time,lat_deg,lon_deg,alt_agl_m,heading_deg,dist_from_start_km,wind_n_ms,wind_e_ms,wind_speed_ms,wind_dir_deg,gust_n_ms,gust_e_ms,gust_speed_ms,headwind_ms,crosswind_ms,delta_beta_deg,delta_alpha_deg,temp_c,pressure_hpa,density_kgm3,visibility_sm,ceiling_ft,flight_category,interp_method,gust_mode,log_profile_applied
2026-04-29T18:02:51Z,34.899239,-76.886322,106.680000,127.915090,0.000000,3.212197,0.403336,3.237420,187.156833,3.219245,0.404221,3.244523,1.655671,-2.782021,-8.142355,,18.532785,1012.250414,1.208981,9.998088,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:01Z,34.898162,-76.884646,106.680000,127.915090,0.194444,3.215419,0.407908,3.241190,187.229923,3.242115,0.411295,3.268099,1.654045,-2.787373,-8.157808,,18.532740,1012.250718,1.208982,9.998095,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:11Z,34.897084,-76.882969,106.680000,127.915090,0.388889,3.218638,0.412474,3.244960,187.302758,3.262310,0.418071,3.288989,1.652420,-2.792718,-8.173240,,18.532693,1012.251021,1.208982,9.998102,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:21Z,34.896007,-76.881292,106.680000,127.915090,0.583333,3.221852,0.417035,3.248730,187.375338,3.239827,0.419362,3.266855,1.650797,-2.798056,-8.188651,,18.532646,1012.251324,1.208983,9.998109,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:31Z,34.894929,-76.879616,106.680000,127.915090,0.777778,3.225061,0.421591,3.252501,187.447665,3.278057,0.428519,3.305947,1.649175,-2.803387,-8.204042,,18.532599,1012.251628,1.208984,9.998116,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:41Z,34.893852,-76.877939,106.680000,127.915090,0.972222,3.228267,0.426141,3.256271,187.519738,3.292728,0.434650,3.321291,1.647555,-2.808712,-8.219412,,18.532551,1012.251932,1.208984,9.998123,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:03:51Z,34.892775,-76.876262,106.680000,127.915090,1.166667,3.231468,0.430685,3.260042,187.591559,3.280117,0.437169,3.309122,1.645937,-2.814030,-8.234761,,18.532503,1012.252236,1.208985,9.998130,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:04:01Z,34.891697,-76.874586,106.680000,127.915090,1.361111,3.234664,0.435224,3.263813,187.663122,3.261109,0.438782,3.290496,1.644321,-2.819341,-8.250088,,18.532454,1012.252540,1.208985,9.998137,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:04:11Z,34.890620,-76.872909,106.680000,127.915090,1.555556,3.237856,0.439753,3.267582,187.734365,3.242967,0.440447,3.272741,1.642709,-2.824642,-8.265386,,18.532397,1012.252842,1.208986,9.998142,280000.000000,VFR,barnes,envelope,False
2026-04-29T18:04:21Z,34.889542,-76.871232,106.680000,127.915090,1.750000,3.241043,0.444277,3.271352,187.805359,3.259243,0.446771,3.289722,1.641099,-2.829936,-8.280663,,18.532339,1012.253144,1.208986,9.998147,280000.000000,VFR,barnes,envelope,False
