time,lat_deg,lon_deg,alt_agl_m,heading_deg,dist_from_start_km,wind_n_ms,wind_e_ms,wind_speed_ms,wind_dir_deg,gust_n_ms,gust_e_ms,gust_speed_ms,headwind_ms,crosswind_ms,delta_beta_deg,delta_alpha_deg,temp_c,pressure_hpa,density_kgm3,visibility_sm,ceiling_ft,flight_category,interp_method,gust_mode,log_profile_applied
2026-04-21T05:00:00Z,36.890886,-76.202990,106.680000,18.545368,0.000000,-3.144349,-1.577326,3.517796,26.640098,-3.154931,-1.582635,3.529635,3.482747,-0.495341,-1.459277,,7.704270,1027.373898,1.274354,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:00:10Z,36.892544,-76.202294,106.680000,18.545368,0.194444,-3.141913,-1.575089,3.514615,26.625311,-3.153035,-1.580665,3.527057,3.479726,-0.493996,-1.455314,,7.703722,1027.374103,1.274356,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:00:20Z,36.894202,-76.201597,106.680000,18.545368,0.388889,-3.139479,-1.572853,3.511437,26.610487,-3.145368,-1.575803,3.518025,3.476706,-0.492649,-1.451350,,7.703174,1027.374308,1.274359,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:00:30Z,36.895860,-76.200900,106.680000,18.545368,0.583333,-3.137046,-1.570616,3.508261,26.595625,-3.143821,-1.574008,3.515837,3.473689,-0.491303,-1.447384,,7.702625,1027.374512,1.274362,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:00:40Z,36.897517,-76.200204,106.680000,18.545368,0.777778,-3.134616,-1.568380,3.505087,26.580727,-3.133925,-1.568035,3.504315,3.470674,-0.489956,-1.443418,,7.702075,1027.374717,1.274365,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:00:50Z,36.899175,-76.199507,106.680000,18.545368,0.972222,-3.132188,-1.566145,3.501915,26.565792,-3.121733,-1.560917,3.490226,3.467661,-0.488609,-1.439451,,7.701525,1027.374922,1.274367,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:00Z,36.900833,-76.198810,106.680000,18.545368,1.166667,-3.129762,-1.563909,3.498745,26.550820,-3.124331,-1.561196,3.492675,3.464649,-0.487261,-1.435482,,7.700975,1027.375127,1.274370,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:10Z,36.902490,-76.198113,106.680000,18.545368,1.361111,-3.127337,-1.561674,3.495578,26.535810,-3.116884,-1.556454,3.483894,3.461640,-0.485913,-1.431513,,7.700424,1027.375333,1.274373,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:20Z,36.904148,-76.197417,106.680000,18.545368,1.555556,-3.124915,-1.559439,3.492412,26.520763,-3.112425,-1.553206,3.478454,3.458633,-0.484565,-1.427542,,7.699873,1027.375538,1.274376,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:30Z,36.905806,-76.196720,106.680000,18.545368,1.750000,-3.122494,-1.557205,3.489249,26.505679,-3.116775,-1.554352,3.482858,3.455627,-0.483216,-1.423571,,7.699322,1027.375744,1.274378,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:40Z,36.907463,-76.196023,106.680000,18.545368,1.944444,-3.120076,-1.554971,3.486088,26.490558,-3.119093,-1.554481,3.484990,3.452624,-0.481867,-1.419598,,7.698770,1027.375950,1.274381,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:01:50Z,36.909121,-76.195327,106.680000,18.545368,2.138889,-3.117660,-1.552737,3.482929,26.475400,-3.116690,-1.552254,3.481846,3.449622,-0.480518,-1.415625,,7.698218,1027.376156,1.274384,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:00Z,36.910779,-76.194630,106.680000,18.545368,2.333333,-3.115245,-1.550503,3.479772,26.460205,-3.121938,-1.553835,3.487248,3.446623,-0.479168,-1.411650,,7.697665,1027.376362,1.274387,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:10Z,36.912437,-76.193933,106.680000,18.545368,2.527778,-3.112833,-1.548270,3.476617,26.444972,-3.118945,-1.551310,3.483444,3.443626,-0.477818,-1.407675,,7.697112,1027.376568,1.274389,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:20Z,36.914094,-76.193237,106.680000,18.545368,2.722222,-3.110422,-1.546037,3.473465,26.429702,-3.116459,-1.549038,3.480206,3.440630,-0.476468,-1.403699,,7.696559,1027.376774,1.274392,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:30Z,36.915752,-76.192540,106.680000,18.545368,2.916667,-3.108014,-1.543805,3.470315,26.414394,-3.116985,-1.548261,3.480331,3.437637,-0.475118,-1.399722,,7.696005,1027.376981,1.274395,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:40Z,36.917410,-76.191843,106.680000,18.545368,3.111111,-3.105608,-1.541573,3.467167,26.399050,-3.113085,-1.545284,3.475515,3.434646,-0.473767,-1.395744,,7.695450,1027.377187,1.274398,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:02:50Z,36.919067,-76.191146,106.680000,18.545368,3.305556,-3.103203,-1.539341,3.464021,26.383668,-3.129449,-1.552360,3.493318,3.431656,-0.472416,-1.391765,,7.694896,1027.377394,1.274400,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:00Z,36.920725,-76.190450,106.680000,18.545368,3.500000,-3.100801,-1.537110,3.460878,26.368248,-3.122039,-1.547638,3.484582,3.428669,-0.471064,-1.387785,,7.694341,1027.377601,1.274403,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:10Z,36.922383,-76.189753,106.680000,18.545368,3.694444,-3.098401,-1.534879,3.457737,26.352791,-3.129063,-1.550068,3.491955,3.425684,-0.469713,-1.383805,,7.693785,1027.377808,1.274406,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:20Z,36.924040,-76.189056,106.680000,18.545368,3.888889,-3.096003,-1.532648,3.454598,26.337297,-3.112300,-1.540716,3.472782,3.422701,-0.468361,-1.379823,,7.693230,1027.378015,1.274409,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:30Z,36.925698,-76.188360,106.680000,18.545368,4.083333,-3.093607,-1.530418,3.451461,26.321765,-3.096688,-1.531942,3.454898,3.419720,-0.467008,-1.375841,,7.692674,1027.378223,1.274412,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:40Z,36.927356,-76.187663,106.680000,18.545368,4.277778,-3.091213,-1.528189,3.448327,26.306196,-3.097748,-1.531419,3.455617,3.416741,-0.465656,-1.371858,,7.692117,1027.378430,1.274414,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:03:50Z,36.929014,-76.186966,106.680000,18.545368,4.472222,-3.088821,-1.525959,3.445195,26.290589,-3.092673,-1.527862,3.449492,3.413765,-0.464303,-1.367874,,7.691560,1027.378638,1.274417,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:00Z,36.930671,-76.186269,106.680000,18.545368,4.666667,-3.086431,-1.523730,3.442065,26.274945,-3.090381,-1.525680,3.446470,3.410790,-0.462950,-1.363889,,7.691003,1027.378846,1.274420,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:10Z,36.932329,-76.185573,106.680000,18.545368,4.861111,-3.084044,-1.521502,3.438938,26.259264,-3.083757,-1.521361,3.438619,3.407818,-0.461597,-1.359904,,7.690445,1027.379054,1.274423,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:20Z,36.933987,-76.184876,106.680000,18.545368,5.055556,-3.081658,-1.519274,3.435813,26.243545,-3.085266,-1.521053,3.439835,3.404848,-0.460243,-1.355918,,7.689887,1027.379262,1.274426,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:30Z,36.935644,-76.184179,106.680000,18.545368,5.250000,-3.079275,-1.517046,3.432690,26.227788,-3.082186,-1.518481,3.435936,3.401879,-0.458889,-1.351931,,7.689329,1027.379470,1.274428,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:40Z,36.937302,-76.183483,106.680000,18.545368,5.444444,-3.076893,-1.514819,3.429570,26.211994,-3.093101,-1.522798,3.447635,3.398913,-0.457535,-1.347943,,7.688770,1027.379679,1.274431,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:04:50Z,36.938960,-76.182786,106.680000,18.545368,5.638889,-3.074514,-1.512593,3.426452,26.196162,-3.094916,-1.522630,3.449189,3.395950,-0.456181,-1.343955,,7.688211,1027.379887,1.274434,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:00Z,36.940617,-76.182089,106.680000,18.545368,5.833333,-3.072137,-1.510367,3.423337,26.180292,-3.088768,-1.518543,3.441869,3.392988,-0.454826,-1.339965,,7.687651,1027.380096,1.274437,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:10Z,36.942275,-76.181392,106.680000,18.545368,6.027778,-3.074700,-1.512294,3.426486,26.190306,-3.080484,-1.515139,3.432933,3.396030,-0.455838,-1.342946,,7.687092,1027.380270,1.274439,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:20Z,36.943933,-76.180696,106.680000,18.545368,6.222222,-3.077263,-1.514219,3.429636,26.200268,-3.074394,-1.512807,3.426439,3.399072,-0.456848,-1.345920,,7.686532,1027.380444,1.274442,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:30Z,36.945591,-76.179999,106.680000,18.545368,6.416667,-3.079827,-1.516142,3.432786,26.210178,-3.074211,-1.513378,3.426527,3.402115,-0.457856,-1.348889,,7.685971,1027.380618,1.274445,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:40Z,36.947248,-76.179302,106.680000,18.545368,6.611111,-3.082391,-1.518064,3.435936,26.220037,-3.080785,-1.517273,3.434146,3.405158,-0.458863,-1.351852,,7.685410,1027.380792,1.274448,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:05:50Z,36.948906,-76.178606,106.680000,18.545368,6.805556,-3.084957,-1.519983,3.439085,26.229845,-3.083113,-1.519075,3.437030,3.408200,-0.459867,-1.354809,,7.684849,1027.380967,1.274450,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:00Z,36.950564,-76.177909,106.680000,18.545368,7.000000,-3.087523,-1.521901,3.442235,26.239601,-3.079346,-1.517870,3.433118,3.411243,-0.460869,-1.357760,,7.684287,1027.381141,1.274453,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:10Z,36.952221,-76.177212,106.680000,18.545368,7.194444,-3.090090,-1.523817,3.445385,26.249305,-3.083372,-1.520504,3.437894,3.414287,-0.461869,-1.360705,,7.683726,1027.381316,1.274456,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:20Z,36.953879,-76.176515,106.680000,18.545368,7.388889,-3.092658,-1.525731,3.448534,26.258958,-3.086513,-1.522700,3.441682,3.417330,-0.462867,-1.363644,,7.683163,1027.381491,1.274459,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:30Z,36.955537,-76.175819,106.680000,18.545368,7.583333,-3.095226,-1.527643,3.451684,26.268561,-3.087302,-1.523732,3.442847,3.420373,-0.463863,-1.366577,,7.682601,1027.381666,1.274462,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:40Z,36.957194,-76.175122,106.680000,18.545368,7.777778,-3.097796,-1.529554,3.454833,26.278112,-3.095830,-1.528583,3.452640,3.423417,-0.464856,-1.369504,,7.682038,1027.381841,1.274464,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:06:50Z,36.958852,-76.174425,106.680000,18.545368,7.972222,-3.100366,-1.531462,3.457983,26.287612,-3.094208,-1.528420,3.451114,3.426460,-0.465848,-1.372425,,7.681475,1027.382017,1.274467,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:00Z,36.960510,-76.173729,106.680000,18.545368,8.166667,-3.102937,-1.533369,3.461132,26.297061,-3.093004,-1.528460,3.450053,3.429504,-0.466838,-1.375340,,7.680911,1027.382192,1.274470,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:10Z,36.962168,-76.173032,106.680000,18.545368,8.361111,-3.105509,-1.535274,3.464282,26.306459,-3.098460,-1.531789,3.456419,3.432548,-0.467826,-1.378249,,7.680347,1027.382368,1.274473,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:20Z,36.963825,-76.172335,106.680000,18.545368,8.555556,-3.108081,-1.537176,3.467431,26.315807,-3.101200,-1.533773,3.459755,3.435592,-0.468812,-1.381152,,7.679783,1027.382544,1.274475,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:30Z,36.965483,-76.171638,106.680000,18.545368,8.750000,-3.110654,-1.539077,3.470580,26.325104,-3.106742,-1.537141,3.466215,3.438636,-0.469796,-1.384050,,7.679219,1027.382720,1.274478,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:40Z,36.967141,-76.170942,106.680000,18.545368,8.944444,-3.113228,-1.540976,3.473729,26.334351,-3.104566,-1.536689,3.464064,3.441680,-0.470777,-1.386941,,7.678654,1027.382896,1.274481,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:07:50Z,36.968798,-76.170245,106.680000,18.545368,9.138889,-3.115803,-1.542873,3.476878,26.343547,-3.115686,-1.542816,3.476749,3.444725,-0.471757,-1.389826,,7.678089,1027.383072,1.274484,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:00Z,36.970456,-76.169548,106.680000,18.545368,9.333333,-3.118378,-1.544768,3.480027,26.352692,-3.117612,-1.544389,3.479173,3.447769,-0.472735,-1.392704,,7.677524,1027.383249,1.274487,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:10Z,36.972114,-76.168852,106.680000,18.545368,9.527778,-3.120954,-1.546661,3.483176,26.361787,-3.112180,-1.542313,3.473384,3.450814,-0.473710,-1.395577,,7.676958,1027.383425,1.274489,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:20Z,36.973771,-76.168155,106.680000,18.545368,9.722222,-3.123531,-1.548553,3.486325,26.370832,-3.119627,-1.546617,3.481967,3.453858,-0.474684,-1.398444,,7.676392,1027.383602,1.274492,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:30Z,36.975429,-76.167458,106.680000,18.545368,9.916667,-3.126108,-1.550442,3.489473,26.379827,-3.121259,-1.548037,3.484061,3.456903,-0.475655,-1.401305,,7.675826,1027.383779,1.274495,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:40Z,36.977087,-76.166761,106.680000,18.545368,10.111111,-3.128687,-1.552329,3.492622,26.388772,-3.124979,-1.550490,3.488483,3.459947,-0.476624,-1.404159,,7.675259,1027.383956,1.274498,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:08:50Z,36.978745,-76.166065,106.680000,18.545368,10.305556,-3.131265,-1.554215,3.495770,26.397667,-3.133397,-1.555273,3.498149,3.462992,-0.477592,-1.407008,,7.674692,1027.384133,1.274501,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:00Z,36.980402,-76.165368,106.680000,18.545368,10.500000,-3.133845,-1.556098,3.498918,26.406512,-3.130526,-1.554450,3.495212,3.466037,-0.478557,-1.409850,,7.674125,1027.384310,1.274503,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:10Z,36.982060,-76.164671,106.680000,18.545368,10.694444,-3.136425,-1.557980,3.502066,26.415307,-3.113903,-1.546792,3.476918,3.469081,-0.479520,-1.412686,,7.673558,1027.384488,1.274506,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:20Z,36.983718,-76.163975,106.680000,18.545368,10.888889,-3.139006,-1.559859,3.505214,26.424052,-3.118794,-1.549815,3.482643,3.472126,-0.480481,-1.415516,,7.672990,1027.384666,1.274509,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:30Z,36.985375,-76.163278,106.680000,18.545368,11.083333,-3.141588,-1.561737,3.508361,26.432748,-3.117513,-1.549768,3.481475,3.475171,-0.481440,-1.418340,,7.672422,1027.384844,1.274512,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:40Z,36.987033,-76.162581,106.680000,18.545368,11.277778,-3.144171,-1.563612,3.511508,26.441394,-3.127233,-1.555189,3.492592,3.478216,-0.482396,-1.421157,,7.671853,1027.385022,1.274514,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:09:50Z,36.988691,-76.161885,106.680000,18.545368,11.472222,-3.146754,-1.565486,3.514656,26.449990,-3.126353,-1.555337,3.491870,3.481261,-0.483351,-1.423968,,7.671285,1027.385200,1.274517,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:10:00Z,36.990349,-76.161188,106.680000,18.545368,11.666667,-3.149337,-1.567357,3.517802,26.458538,-3.136416,-1.560927,3.503370,3.484305,-0.484304,-1.426774,,7.670716,1027.385378,1.274520,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:10:10Z,36.992006,-76.160491,106.680000,18.545368,11.861111,-3.149465,-1.566715,3.517631,26.448250,-3.137985,-1.561004,3.504808,3.484222,-0.483654,-1.424862,,7.670220,1027.385628,1.274523,10.000000,,VFR,barnes,envelope,False
2026-04-21T05:10:20Z,36.993664,-76.159794,106.680000,18.545368,12.055556,-3.149593,-1.566076,3.517460,26.437995,-3.143525,-1.563058,3.510684,3.484140,-0.483007,-1.422956,,7.669723,1027.385877,1.274525,10.000000,,VFR,barnes,envelope,False
